,,,,,,,,,,,,,,,,,,,,,
"Kennzahlen-Übersicht — Credit Comps US Oil & Gas, FY2025",,,,,,,,,,,,,,,,,,,,,
Vollständig formelbasiert. Spalten R:T sind Näherungen der Agentur-Methodiken aus dem Sheet 'Agentur_Bruecke'.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticker,Unternehmen,Sektor,Net Debt / EBITDA,Zinsdeckung EBITDA/Zins,Zinsdeckung EBIT/Zins,Free Cash Flow ($m),FCF / Net Debt,FCF / Total Debt,Capex / D&A,Payout ($m),Payout / FCF,Fällig <24M ($m),<24M / Total Debt,Moody's,S&P,Fitch,Moody's adj. Debt/EBITDA,S&P adj. Debt/EBITDA,Fitch adj. Debt/EBITDA,ROCE,Reserve Life (Jahre)
SLB,SLB (Schlumberger),Services,1.0552589428723973,13.42652329749104,8.689964157706093,4795,0.606501391348343,0.4382197038932553,0.6409383276579644,4016,0.8375391032325339,2800,0.2558947176019009,A3 (stable),A- (stable),n.r. ,1.572159969088099,1.1811244204018547,1.525888717156105,0.1020000188592066,n/a
BKR,Baker Hughes,Services,0.5533006764637276,19.31081081081081,13.95945945945946,2537,1.0695615514333896,0.4167898800722852,1.0715488215488216,1294,0.5100512416239653,2076,0.34105470675209465,Baa1 (stable),BBB+ (stable),n.r. ,1.740891158041309,0.8787421675562775,1.5553492689719193,0.11262212937057606,n/a
HAL,Halliburton,Services,1.4581861012956419,9.647727272727273,6.420454545454546,1672,0.3376413570274637,0.23358480022352612,1.1038732394366197,1586,0.9485645933014354,90,0.012573344509639563,Baa2 (stable),BBB+ (positive),n.r. ,2.3601276842716192,1.7199651770168312,2.3601276842716192,0.09334432567474367,n/a
,,,,,,,,,,,,,,,,,,,,,
MEDIAN,Gesamtsample (20),,1.1854758969034254,13.380688136094506,6.921824397285771,3005,0.3756017782995147,0.34428670824635077,1.0343653625204088,2631,0.9597028966087626,1789.5,0.11708535018836863,,,,1.590648257636419,1.4250883202239466,1.5406189930640122,0.09535447792099858,9.731208289427467
MEDIAN,Integrated (2),,0.7703260547354291,73.1544714117716,43.33024483171651,20102,0.5504159734159647,0.43480406589014187,0.9763245293714888,31167,1.542424624404406,14218.5,0.29958664173859484,,,,1.089058221296237,1.1254033605393299,1.0068114418375944,0.07596919440623676,8.954797159022512
MEDIAN,E&P (8),,0.8663698341824629,22.36828050369084,9.244368337685689,3524,0.43047035366389325,0.3654600148767,0.941760824625492,1631.5,0.5050032126310329,1230.5,0.07810027910692488,,,,1.0542308668778517,1.0047571055817823,1.031898460379135,0.09139554879897704,10.261594273550106
MEDIAN,Midstream (4),,4.3851132933560555,4.303216422943457,3.064850806235186,1726,0.05590376111567204,0.055771690395565524,2.0833456690825973,2523,1.7580393902982023,1844,0.07746880485191887,,,,4.341801149507003,4.4745683424386105,4.341801149507003,0.07725851923799107,n/a
MEDIAN,Refining (3),,1.923872569300786,9.697091273821464,5.721223021582734,3941,0.16323106423777564,0.14499939165348583,0.676714856967087,4003,1.0157320477036285,2320,0.13337997323275338,,,,2.1893148369132858,2.132110182975338,2.1465791567223547,0.10731064878156833,n/a
MEDIAN,Services (3),,1.0552589428723973,13.42652329749104,8.689964157706093,2537,0.606501391348343,0.4167898800722852,1.0715488215488216,1586,0.8375391032325339,2076,0.2558947176019009,,,,1.740891158041309,1.1811244204018547,1.5553492689719193,0.1020000188592066,n/a
,,,,,,,,,,,,,,,,,,,,,
Lesehilfe:,"'n/v' = Wert im Input-Sheet offen. 'n.m.' = nicht aussagekräftig (Netto-Cash bzw. negativer FCF). 'n/a' = für diesen Sektor nicht anwendbar. Spalten R:T sind methodische Näherungen, keine publizierten Agenturkennzahlen — Herleitung und Vorbehalte im Sheet 'Agentur_Bruecke' bzw. 'Legende'.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
